<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GAZP	60	20201001	110000	171.1800000	171.4000000	168.1000000	169.2200000	16.138.840
GAZP	60	20201001	120000	169.2200000	169.4000000	168.1000000	168.1700000	7.836.140
GAZP	60	20201001	130000	168.1900000	169.0900000	168.0000000	168.5500000	4.174.720
GAZP	60	20201001	140000	168.5500000	168.9900000	168.3500000	168.6400000	2.480.080
GAZP	60	20201001	150000	168.6300000	169.9900000	168.6100000	169.8000000	8.127.730
GAZP	60	20201001	160000	169.8000000	169.8300000	169.3200000	169.6900000	2.873.800
GAZP	60	20201001	170000	169.7000000	169.8900000	168.3800000	168.4500000	4.599.820
GAZP	60	20201001	180000	168.4300000	168.7000000	168.0500000	168.3800000	5.742.750
GAZP	60	20201001	190000	168.3900000	168.6000000	168.2000000	168.4000000	3.436.680
GAZP	60	20201001	200000	168.5600000	168.5900000	168.1000000	168.3900000	850.480
GAZP	60	20201001	210000	168.3400000	168.5400000	168.3000000	168.4000000	512.570
GAZP	60	20201001	220000	168.4000000	168.4700000	168.1000000	168.2900000	834.230
GAZP	60	20201001	230000	168.2900000	169.5000000	167.9700000	168.4900000	2.255.940
GAZP	60	20201002	000000	168.5000000	168.5300000	168.3000000	168.4000000	432.590
GAZP	60	20201002	110000	167.5000000	168.2400000	167.2200000	167.7500000	7.810.700
GAZP	60	20201002	120000	167.7300000	168.4400000	167.6100000	167.9200000	3.296.890
GAZP	60	20201002	130000	167.9200000	168.2400000	167.6100000	167.9200000	2.198.010
GAZP	60	20201002	140000	167.9000000	168.9400000	167.8500000	168.6300000	4.467.810
GAZP	60	20201002	150000	168.6500000	169.1000000	168.5600000	169.0000000	2.760.070
GAZP	60	20201002	160000	168.9900000	169.0800000	168.8000000	169.0100000	3.222.900
GAZP	60	20201002	170000	169.0100000	169.9500000	168.8600000	169.7500000	7.063.210
GAZP	60	20201002	180000	169.7500000	169.9200000	169.4800000	169.8400000	3.219.110
GAZP	60	20201002	190000	169.8300000	169.9200000	169.2600000	169.6000000	4.441.500
GAZP	60	20201002	200000	169.7200000	169.8600000	169.4000000	169.7500000	505.170
GAZP	60	20201002	210000	169.7500000	169.8400000	169.5000000	169.6000000	289.620
GAZP	60	20201002	220000	169.6000000	169.6400000	169.4000000	169.4700000	213.970
GAZP	60	20201002	230000	169.4700000	169.5500000	169.4000000	169.5000000	374.060
GAZP	60	20201003	000000	169.4600000	169.5800000	169.3300000	169.4700000	328.110
GAZP	60	20201005	110000	170.1200000	170.8800000	168.5800000	169.0900000	9.580.210
GAZP	60	20201005	120000	169.0500000	169.4900000	168.7200000	168.8400000	2.732.260
GAZP	60	20201005	130000	168.8400000	169.4800000	168.7700000	169.1900000	1.766.310
GAZP	60	20201005	140000	169.1700000	169.4100000	168.8500000	169.4000000	1.171.080
GAZP	60	20201005	150000	169.4000000	170.2600000	169.2900000	169.8500000	3.206.270
GAZP	60	20201005	160000	169.8500000	170.0800000	169.6300000	169.9100000	1.073.020
GAZP	60	20201005	170000	169.9400000	169.9400000	169.0200000	169.0900000	3.810.740
GAZP	60	20201005	180000	169.0800000	170.0000000	169.0100000	169.9300000	5.047.140
GAZP	60	20201005	190000	169.9400000	170.2900000	169.3000000	169.9500000	5.851.200
GAZP	60	20201005	200000	169.9500000	170.0900000	169.7200000	170.0400000	530.310
GAZP	60	20201005	210000	170.0500000	170.1400000	169.9500000	170.0700000	375.310
GAZP	60	20201005	220000	170.0700000	170.4500000	169.9800000	170.3800000	765.100
GAZP	60	20201005	230000	170.4000000	170.6500000	170.3500000	170.6300000	759.030
GAZP	60	20201006	000000	170.6200000	170.7500000	170.5100000	170.6400000	725.040
GAZP	60	20201006	110000	170.7000000	173.4100000	170.5000000	173.1100000	16.428.530
GAZP	60	20201006	120000	173.1300000	173.3800000	172.5200000	172.8900000	5.083.040
GAZP	60	20201006	130000	172.8700000	173.2900000	172.6000000	172.6600000	3.672.010
GAZP	60	20201006	140000	172.6600000	172.8000000	172.5000000	172.6300000	2.852.530
GAZP	60	20201006	150000	172.6500000	173.4100000	172.6000000	173.0300000	6.661.010
GAZP	60	20201006	160000	173.0300000	173.1600000	172.6000000	173.0300000	3.912.190
GAZP	60	20201006	170000	173.0100000	173.0400000	172.5000000	172.6400000	6.067.350
GAZP	60	20201006	180000	172.6400000	172.9000000	172.2500000	172.4000000	7.602.170
GAZP	60	20201006	190000	172.4000000	172.6800000	172.0500000	172.6800000	7.101.010
GAZP	60	20201006	200000	172.6100000	172.8900000	172.3900000	172.7500000	415.290
GAZP	60	20201006	210000	172.7400000	172.8300000	172.6100000	172.7700000	269.750
GAZP	60	20201006	220000	172.7700000	173.0800000	172.2000000	172.3000000	1.071.650
GAZP	60	20201006	230000	172.3000000	172.4300000	171.8500000	172.0000000	1.877.620
GAZP	60	20201007	000000	172.0000000	172.1000000	171.3000000	171.3500000	1.068.830
GAZP	60	20201007	110000	171.7500000	172.2600000	170.7500000	171.0700000	5.936.240
GAZP	60	20201007	120000	171.0200000	171.1500000	168.5900000	169.3000000	14.679.960
GAZP	60	20201007	130000	169.3500000	169.3500000	168.3200000	169.0000000	7.408.760
GAZP	60	20201007	140000	169.0000000	169.0000000	167.6100000	167.8800000	9.189.570
GAZP	60	20201007	150000	167.8800000	167.9300000	167.0400000	167.8200000	7.837.760
GAZP	60	20201007	160000	167.8100000	168.2500000	167.5100000	167.9500000	3.959.830
GAZP	60	20201007	170000	167.9400000	167.9500000	167.2700000	167.7000000	4.571.440
GAZP	60	20201007	180000	167.7100000	168.0400000	167.3800000	167.5800000	2.909.880
GAZP	60	20201007	190000	167.5800000	167.8400000	167.3200000	167.7800000	6.826.740
GAZP	60	20201007	200000	167.7800000	167.8500000	167.5000000	167.7500000	559.160
GAZP	60	20201007	210000	167.7500000	168.2500000	167.7200000	168.1600000	693.390
GAZP	60	20201007	220000	168.2000000	168.3700000	167.9100000	168.3000000	468.700
GAZP	60	20201007	230000	168.3300000	168.3900000	168.0800000	168.2100000	519.490
